"","Company.Names","Cars.Names","Engines","CC.Battery.Capacity","HorsePower","Total.Speed","Performance.0...100..KM.H","Cars.Prices","Fuel.Types","Seats","Torque","BodyType","MPG","FuelTank"
"273","Nissan","Almera","1.0L Turbocharged Inline-3","999 cc","100 HP","185 km/h","10.7 sec","$14,500 ","Petrol","5","160 Nm","Sedan","45","11.0"
"274","Nissan","Sylphy","1.8L Inline-4","1798 cc","137 HP","190 km/h","9.6 sec","$18,000 ","Petrol","5","174 Nm","Sedan","50","11.0"
"275","Nissan","Note","1.2L Inline-3 Hybrid","1198 cc","109 HP","170 km/h","11.5 sec","$16,000 ","Hybrid","5","150 Nm","Hatchback","55","10.6"
"276","Nissan","Sunny","1.6L Inline-4","1598 cc","118 HP","180 km/h","11.0 sec","$15,000 ","Petrol","5","156 Nm","Sedan","50","11.0"
"277","Nissan","Cube","1.8L Inline-4","1798 cc","122 HP","175 km/h","10.6 sec","$14,500 ","Petrol","5","171 Nm","Van","40","12.4"
"278","Nissan","Juke","1.0L Turbocharged Inline-3","999 cc","117 HP","180 km/h","10.4 sec","$25,000 ","Petrol","5","180 Nm","SUV","45","11.0"
"279","Nissan","Terrano","1.5L Inline-4 Diesel","1461 cc","110 HP","168 km/h","13.5 sec","$15,500 ","Diesel","5","248 Nm","SUV","40","13.2"
"280","Nissan","Magnite","1.0L Turbocharged Inline-3","999 cc","100 HP","160 km/h","13.0 sec","$12,000 ","Petrol","5","160 Nm","SUV","45","11.0"
"281","Nissan","Xterra","4.0L V6","3954 cc","261 HP","200 km/h","7.8 sec","$35,000 ","Petrol","7","381 Nm","SUV","18","21.1"
"282","Nissan","Patrol","5.6L V8","5552 cc","400 HP","210 km/h","7.3 sec","$77,000 ","Petrol","7","560 Nm","SUV","15","26.4"
"283","Nissan","GT-R NISMO","3.8L Twin-Turbo V6","3799 cc","600 HP","330 km/h","2.9 sec","$220,000 ","Petrol","2","652 Nm","Coupe","18","19.5"
"284","Nissan","370Z Roadster","3.7L V6","3696 cc","332 HP","250 km/h","5.5 sec","$41,820 ","Petrol","2","366 Nm","Convertible","21","19"
"285","Nissan","370Z NISMO","3.7L V6","3696 cc","350 HP","250 km/h","5.2 sec","$45,790 ","Petrol","2","374 Nm","Coupe","20","19"
"286","Nissan","Pathfinder Armada","5.6L V8","5552 cc","400 HP","200 km/h","6.5 sec","$60,000 ","Petrol","7","560 Nm","SUV","13","28"
"287","Nissan","Rogue Midnight Edition","1.5L Turbo Inline-3","1497 cc","201 HP","180 km/h","8.2 sec","$39,000 ","Petrol","5","300 Nm","SUV","28","14.5"
"288","Nissan","GT-R Black Edition","3.8L Twin-Turbo V6","3799 cc","600 HP","330 km/h","2.8 sec","$185,000 ","Petrol","2","652 Nm","Coupe","18","19.5"
"289","Nissan","Fairlady Z Heritage","3.0L Twin-Turbo V6","2997 cc","400 HP","250 km/h","4.2 sec","$48,000 ","Petrol","2","475 Nm","Coupe","20","19"
"290","Nissan","Skyline GT-R R34","2.6L Twin-Turbo Inline-6","2568 cc","276 HP","250 km/h","5.6 sec","$70,000 ","Petrol","4","392 Nm","Coupe","19","19.5"
"291","Nissan","300ZX","3.0L Twin-Turbo V6","2960 cc","300 HP","250 km/h","5.9 sec","$50,000 ","Petrol","4","384 Nm","Coupe","20","19"
"292","Nissan","300ZX Turbo","3.0L Twin-Turbo V6","2960 cc","300 HP","250 km/h","5.9 sec","$55,000 ","Petrol","4","384 Nm","Coupe","18","19"
"293","Nissan","Silvia S15 Spec-R","2.0L Turbo Inline-4","1998 cc","250 HP","240 km/h","5.6 sec","$35,000 ","Petrol","4","300 Nm","Coupe","24","17.2"
"294","Nissan","NV400","2.3L Inline-4 Diesel","2298 cc","135 HP","150 km/h","15.0 sec","$40,000 ","Diesel","3","360 Nm","Van","18","19"
"295","Nissan","Titan Warrior","5.6L V8","5552 cc","400 HP","180 km/h","7.0 sec","$55,000 ","Petrol","5","560 Nm","Truck","14","26"
"296","Nissan","Caravan Coach","2.5L Inline-4 Diesel","2498 cc","127 HP","140 km/h","14.0 sec","$30,000 ","Diesel","7","260 Nm","Van","20","17.2"
"297","Nissan","Serena e-Power","1.2L Hybrid","1198 cc","134 HP","160 km/h","12.0 sec","$35,000 ","Hybrid","7","320 Nm","Van","45","14.5"
"298","Nissan","Elgrand","3.5L V6","3498 cc","280 HP","200 km/h","8.5 sec","$50,000 ","Petrol","7","344 Nm","Van","19","20"
"299","Nissan","Datsun 510","1.6L Inline-4","1595 cc","96 HP","175 km/h","10.2 sec","$25,000 ","Petrol","4","135 Nm","Sedan","27","13.2"
"300","Nissan","Prairie","2.0L Inline-4","1998 cc","120 HP","175 km/h","11.0 sec","$18,000 ","Petrol","5","170 Nm","Sedan","24","15.9"
